,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.365875 47.5140495),0.3007962726851856,0.011176,False,False,0.012728400582147303,0.012728400582147303,-122.365875,47.5140495,
1,POINT (-122.365875 47.51393506666667),0.2994848920578761,0.011176,False,False,0.012728400582854849,0.025456801165002152,-122.365875,47.51393506666667,0.0
2,POINT (-122.365875 47.51382063333333),0.29807206986274054,0.011176,False,False,0.012728400582147303,0.038185201747149455,-122.365875,47.51382063333333,0.0
3,POINT (-122.365875 47.5137062),0.2965788188505652,0.011176,False,False,0.0001,0.03828520174714946,-122.365875,47.5137062,0.0
4,POINT (-122.365875 47.5137062),0.29502615177213637,0.011176,False,False,0.010444559679090307,0.04872976142623976,-122.365875,47.5137062,0.0
5,POINT (-122.36587446153847 47.5136123),0.2934350813782403,0.0134112,False,False,0.010444559677962982,0.059174321104202746,-122.36587446153847,47.5136123,0.0
6,POINT (-122.36587392307693 47.5135184),0.2918266204196634,0.0134112,False,False,0.01044455967965841,0.06961888078386115,-122.36587392307693,47.5135184,0.0
7,POINT (-122.36587338461538 47.5134245),0.2902217816471918,0.0134112,False,False,0.010444559679223819,0.08006344046308497,-122.36587338461538,47.5134245,0.0
8,POINT (-122.36587284615385 47.5133306),0.288641577811612,0.0134112,False,False,0.010444559679511573,0.09050800014259655,-122.36587284615385,47.5133306,0.0
9,POINT (-122.36587230769231 47.5132367),0.28710702166371005,0.0134112,False,False,0.01044455968049206,0.10095255982308861,-122.36587230769231,47.5132367,0.0
10,POINT (-122.36587176923078 47.5131428),0.28563912595427243,0.0134112,False,False,0.010444559680079677,0.11139711950316829,-122.36587176923078,47.5131428,0.0
11,POINT (-122.36587123076923 47.5130489),0.28425890343408533,0.0134112,False,False,0.01044455968034522,0.1218416791835135,-122.36587123076923,47.5130489,0.0
12,POINT (-122.3658706923077 47.512955),0.2829873668539351,0.0134112,False,False,0.010444559681340516,0.13228623886485402,-122.3658706923077,47.512955,0.0
13,POINT (-122.36587015384616 47.512861099999995),0.281845528964608,0.0134112,False,False,0.010444559680905923,0.14273079854575996,-122.36587015384616,47.512861099999995,0.0
14,POINT (-122.36586961538463 47.5127672),0.2808544025168966,0.0134112,False,False,0.010444559681193677,0.15317535822695363,-122.36586961538463,47.5127672,0.0
15,POINT (-122.36586907692308 47.512673299999996),0.28035607623877773,0.0134112,False,False,0.010444559681474029,0.16361991790842767,-122.36586907692308,47.512673299999996,0.0
16,POINT (-122.36586853846154 47.5125794),0.280002460152068,0.0134112,False,False,0.010444559682454516,0.17406447759088217,-122.36586853846154,47.5125794,0.0
17,POINT (-122.365868 47.5124855),0.2798207163119493,0.0134112,False,False,0.012410468641923078,0.18647494623280525,-122.365868,47.5124855,0.0
18,POINT (-122.365868 47.512373925),0.27979497276781073,0.011176,False,False,0.012410468642630623,0.19888541487543587,-122.365868,47.512373925,0.0
19,POINT (-122.365868 47.51226235),0.2800516702427853,0.011176,False,False,0.012410468643338168,0.21129588351877404,-122.365868,47.51226235,0.0
20,POINT (-122.365868 47.512150774999995),0.28053928384768534,0.011176,False,False,0.012410468642630623,0.22370635216140466,-122.365868,47.512150774999995,0.0
21,POINT (-122.365868 47.5120392),0.2812426581405798,0.011176,False,False,0.010434257779069252,0.23414060994047392,-122.365868,47.5120392,0.0
22,POINT (-122.36586617647059 47.511945399999995),0.2821581133827325,0.0134112,False,False,0.010434257781551699,0.2445748677220256,-122.36586617647059,47.511945399999995,0.0
23,POINT (-122.36586435294119 47.5118516),0.28327137350314746,0.0134112,False,False,0.010434257785499314,0.2550091255075249,-122.36586435294119,47.5118516,0.0
24,POINT (-122.36586252941177 47.5117578),0.2845614988831331,0.0134112,False,False,0.010434257788714346,0.2654433832962393,-122.36586252941177,47.5117578,0.0
25,POINT (-122.36586070588235 47.511663999999996),0.28592158325180855,0.0134112,False,False,0.01043425779190428,0.27587764108814355,-122.36586070588235,47.511663999999996,0.0
26,POINT (-122.36585888235294 47.511570199999994),0.28755358640798473,0.0134112,False,False,0.010434257795119315,0.28631189888326286,-122.36585888235294,47.511570199999994,0.0
27,POINT (-122.36585705882354 47.5114764),0.2892594363587825,0.0134112,False,False,0.010434257798359449,0.2967461566816223,-122.36585705882354,47.5114764,0.0
28,POINT (-122.36585523529412 47.5113826),0.2910085660326075,0.0134112,False,False,0.010434257801574484,0.3071804144831968,-122.36585523529412,47.5113826,0.0
29,POINT (-122.3658534117647 47.511288799999996),0.2927545583553188,0.0134112,False,False,0.010434257804056938,0.3176146722872537,-122.3658534117647,47.511288799999996,0.0
30,POINT (-122.3658515882353 47.511195),0.2944515715794669,0.0134112,False,False,0.010434257807979462,0.32804893009523317,-122.3658515882353,47.511195,0.0
31,POINT (-122.36584976470589 47.5111012),0.29605024934419727,0.0134112,False,False,0.010434257811219599,0.33848318790645276,-122.36584976470589,47.5111012,0.0
32,POINT (-122.36584794117647 47.5110074),0.2963867507348122,0.0134112,False,False,0.010434257813702054,0.3489174457201548,-122.36584794117647,47.5110074,0.0
33,POINT (-122.36584611764707 47.5109136),0.2981182266290109,0.0134112,False,False,0.010434257818357166,0.359351703538512,-122.36584611764707,47.5109136,0.0
34,POINT (-122.36584429411765 47.5108198),0.2996290678336238,0.0134112,False,False,0.010434257820839623,0.3697859613593516,-122.36584429411765,47.5108198,0.0
35,POINT (-122.36584247058823 47.510726),0.3008979574902989,0.0134112,False,False,0.010434257824079765,0.38022021918343135,-122.36584247058823,47.510726,0.0
36,POINT (-122.36584064705882 47.510632199999996),0.3019444602520361,0.0134112,False,False,0.010434257826562224,0.39065447700999356,-122.36584064705882,47.510632199999996,0.0
