,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.299629 47.5836449),0.07330722674389822,0.011176,True,False,0.011039703049549465,0.011039703049549465,-122.299629,47.5836449,
1,POINT (-122.29948185714285 47.58364435714286),0.07322402383942148,0.011176,False,False,0.01103970316403288,0.022079406213582346,-122.29948185714285,47.58364435714286,0.0
2,POINT (-122.2993347142857 47.583643814285715),0.07373517669820004,0.011176,False,False,0.01103970327659959,0.03311910949018194,-122.2993347142857,47.583643814285715,0.0
3,POINT (-122.29918757142856 47.58364327142857),0.07478187688013886,0.011176,False,False,0.011039703391075266,0.044158812881257205,-122.29918757142856,47.58364327142857,0.0
4,POINT (-122.29904042857143 47.583642728571434),0.07630531594514288,0.011176,False,False,0.011039703507467644,0.05519851638872485,-122.29904042857143,47.583642728571434,0.0
5,POINT (-122.29889328571429 47.58364218571429),0.07942968592643772,0.011176,False,False,0.011039703621947184,0.06623822001067203,-122.29889328571429,47.58364218571429,0.0
6,POINT (-122.29874614285714 47.583641642857145),0.08189526081085241,0.011176,False,False,0.01103970373451776,0.0772779237451898,-122.29874614285714,47.583641642857145,0.0
7,POINT (-122.298599 47.5836411),0.08461572990417518,0.011176,False,False,0.003976377518326808,0.0812543012635166,-122.298599,47.5836411,0.0
8,POINT (-122.298546 47.5836411),0.08731648807525673,0.011176,False,False,0.005176793371799381,0.08643109463531598,-122.298546,47.5836411,0.0
9,POINT (-122.298477 47.5836411),0.08964134163856544,0.011176,False,False,0.004067569405603703,0.09049866404091968,-122.298477,47.5836411,0.0
10,POINT (-122.298424 47.5836334),0.09131528573036232,0.011176,False,False,0.005247164370556962,0.09574582841147664,-122.298424,47.5836334,0.0
11,POINT (-122.298355 47.5836411),0.09259404106140172,0.011176,False,False,0.006302183235980927,0.10204801164745757,-122.298355,47.5836411,0.0
12,POINT (-122.298271 47.5836411),0.0937838376998905,0.011176,False,True,0.009153170890125495,0.11120118253758306,-122.298271,47.5836411,0.0
13,POINT (-122.298149 47.5836411),0.09470152292251623,0.011176,False,False,0.011454818992151505,0.12265600152973456,-122.298149,47.5836411,0.0
14,POINT (-122.298149 47.583744083333336),0.09552755041122472,0.011176,False,False,0.011454818992151505,0.13411082052188605,-122.298149,47.583744083333336,0.0
15,POINT (-122.298149 47.58384706666667),0.0962019354820255,0.011176,False,False,0.01145481899144396,0.14556563951333001,-122.298149,47.58384706666667,0.0
