,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.330276 47.6002388),0.03312559034506974,0.0089408,False,False,0.010123781652913597,0.010123781652913597,-122.330276,47.6002388,
1,POINT (-122.330275 47.600329814285715),0.032328910073259685,0.0089408,False,False,0.01012378165122529,0.020247563304138887,-122.330275,47.600329814285715,0.0
2,POINT (-122.330274 47.60042082857143),0.03200497651567648,0.0089408,False,False,0.010123781650272787,0.030371344954411676,-122.330274,47.60042082857143,0.0
3,POINT (-122.330273 47.600511842857145),0.03213747633155534,0.0089408,False,False,0.010123781648598621,0.0404951266030103,-122.330273,47.600511842857145,0.0
4,POINT (-122.330272 47.60060285714285),0.03271009618013146,0.0156464,False,False,0.010123781649047033,0.05061890825205734,-122.330272,47.60060285714285,0.0
5,POINT (-122.330271 47.60069387142857),0.03370652272064007,0.0156464,False,False,0.010123781647372867,0.060742689899430206,-122.330271,47.60069387142857,0.0
6,POINT (-122.33027 47.60078488571428),0.03511044261231637,0.0156464,False,False,0.010123781646406227,0.07086647154583643,-122.33027,47.60078488571428,0.0
7,POINT (-122.330269 47.6008759),0.036905542514395574,0.0156464,False,False,0.0001,0.07096647154583643,-122.330269,47.6008759,0.0
8,POINT (-122.330269 47.6008759),0.03907550908611267,0.0156464,False,False,0.01127393809713584,0.08224040964297227,-122.330269,47.6008759,0.0
9,POINT (-122.330269 47.60097725714286),0.04192214523527992,0.0156464,False,False,0.011273938096428295,0.09351434773940057,-122.330269,47.60097725714286,0.0
10,POINT (-122.330269 47.60107861428571),0.04518998674563925,0.0156464,False,False,0.01127393809713584,0.1047882858365364,-122.330269,47.60107861428571,0.0
11,POINT (-122.330269 47.60117997142857),0.048585886184644905,0.0156464,False,False,0.01127393809572075,0.11606222393225715,-122.330269,47.60117997142857,0.0
12,POINT (-122.330269 47.601281328571424),0.05180496827589075,0.0067056,False,False,0.01127393809713584,0.127336162029393,-122.330269,47.601281328571424,0.0
13,POINT (-122.330269 47.601382685714285),0.05498815981743847,0.0067056,False,False,0.011273938096428295,0.13861010012582128,-122.330269,47.601382685714285,0.0
14,POINT (-122.330269 47.60148404285714),0.05858833647217146,0.0067056,False,False,0.011273938096428295,0.14988403822224958,-122.330269,47.60148404285714,0.0
15,POINT (-122.330269 47.6015854),0.06128922685085774,0.0067056,False,False,0.0001,0.14998403822224957,-122.330269,47.6015854,0.0
16,POINT (-122.330269 47.6015854),0.0634060873025708,0.0067056,False,False,0.014849182736846437,0.164833220959096,-122.330269,47.6015854,0.0
17,POINT (-122.330269 47.6017189),0.06477930472878818,0.0067056,False,False,0.01422647083615436,0.17905969179525036,-122.330269,47.6017189,0.0
18,POINT (-122.330429 47.6017876),0.06534909658756755,0.0067056,False,False,0.007592718765295132,0.1866524105605455,-122.330429,47.6017876,0.0
19,POINT (-122.330513 47.6018257),0.06544197636418267,0.0067056,False,False,0.0064616360598763155,0.1931140466204218,-122.330513,47.6018257,0.0
20,POINT (-122.330566 47.6018715),0.06521053373259994,0.0067056,False,False,0.006688791657246005,0.19980283827766782,-122.330566,47.6018715,0.0
21,POINT (-122.330635 47.6019096),0.06516758925257789,0.0067056,False,False,0.011321856576573568,0.21112469485424137,-122.330635,47.6019096,0.0
22,POINT (-122.3307115 47.60199735),0.06579779516875527,0.011176,False,False,0.011321851699620727,0.2224465465538621,-122.3307115,47.60199735,0.0
23,POINT (-122.330788 47.6020851),0.066173927614194,0.011176,False,True,0.010263339901169323,0.2327098864550314,-122.330788,47.6020851,0.0
24,POINT (-122.3308595 47.602163774999994),0.06694417103156183,0.011176,False,False,0.010263335687542223,0.24297322214257364,-122.3308595,47.602163774999994,0.0
25,POINT (-122.33093099999999 47.60224245),0.06793225900750377,0.011176,False,False,0.010263331474911513,0.25323655361748515,-122.33093099999999,47.60224245,0.0
26,POINT (-122.3310025 47.602321124999996),0.06914546651220141,0.011176,False,False,0.010263327260285995,0.26349988087777115,-122.3310025,47.602321124999996,0.0
27,POINT (-122.331074 47.6023998),0.07022125352794507,0.011176,False,False,0.01026332304765393,0.2737632039254251,-122.331074,47.6023998,0.0
28,POINT (-122.3311455 47.602478475),0.07115504169759332,0.011176,False,False,0.010263318832423776,0.28402652275784884,-122.3311455,47.602478475,0.0
29,POINT (-122.33121700000001 47.602557149999996),0.0721700355836847,0.011176,False,False,0.010263314619999873,0.2942898373778487,-122.33121700000001,47.602557149999996,0.0
30,POINT (-122.3312885 47.602635825),0.07298766163923387,0.011176,False,False,0.010263310406159196,0.3045531477840079,-122.3312885,47.602635825,0.0
31,POINT (-122.33136 47.6027145),0.07376573651198595,0.011176,False,True,0.006799803485063602,0.3113529512690715,-122.33136,47.6027145,0.0
32,POINT (-122.331413 47.6027641),0.07431439310552129,0.0156464,False,False,0.005837323555353172,0.31719027482442463,-122.331413,47.6027641,0.0
33,POINT (-122.331451 47.6028099),0.0752341871704476,0.011176,True,False,0.005218213117308616,0.32240848794173327,-122.331451,47.6028099,0.0
34,POINT (-122.331482 47.6028519),0.0760120130840097,0.011176,False,False,0.010382230576164936,0.3327907185178982,-122.331482,47.6028519,0.0
35,POINT (-122.331555375 47.602931049999995),0.07690520588310841,0.011176,False,False,0.010382226163587397,0.3431729446814856,-122.331555375,47.602931049999995,0.0
36,POINT (-122.33162875 47.6030102),0.07777447141287089,0.011176,False,False,0.010382221748797668,0.3535551664302833,-122.33162875,47.6030102,0.0
37,POINT (-122.33170212499999 47.60308935),0.07805317662005785,0.011176,False,False,0.01038221733663009,0.36393738376691337,-122.33170212499999,47.60308935,0.0
38,POINT (-122.33177549999999 47.603168499999995),0.07909693894519118,0.011176,False,False,0.010382212925661697,0.3743195966925751,-122.33177549999999,47.603168499999995,0.0
39,POINT (-122.331848875 47.60324765),0.07998228175868889,0.011176,False,False,0.010382208510269698,0.3847018052028448,-122.331848875,47.60324765,0.0
40,POINT (-122.33192225 47.6033268),0.08138868368520785,0.011176,False,False,0.010382204097688337,0.39508400930053317,-122.33192225,47.6033268,0.0
41,POINT (-122.331995625 47.60340595),0.08368806521294615,0.011176,False,True,0.01038219968390625,0.4054662089844394,-122.331995625,47.60340595,0.0
42,POINT (-122.332069 47.6034851),0.08576678502227457,0.011176,False,False,0.019880159375611252,0.4253463683600507,-122.332069,47.6034851,0.0
43,POINT (-122.332207 47.6036377),0.08759812457199763,0.011176,False,False,0.010360953031194194,0.4357073213912449,-122.332207,47.6036377,0.0
44,POINT (-122.33227885714285 47.603717257142854),0.08920532245458791,0.011176,False,False,0.010360948770416354,0.4460682701616613,-122.33227885714285,47.603717257142854,0.0
45,POINT (-122.33235071428571 47.603796814285715),0.0906207393256499,0.011176,False,False,0.010360944505235524,0.4564292146668968,-122.33235071428571,47.603796814285715,0.0
46,POINT (-122.33242257142857 47.60387637142857),0.0918510923119886,0.011176,False,False,0.010360940243852026,0.4667901549107488,-122.33242257142857,47.60387637142857,0.0
47,POINT (-122.33249442857144 47.60395592857143),0.09286766694721377,0.011176,False,False,0.010360935979274155,0.477151090890023,-122.33249442857144,47.60395592857143,0.0
48,POINT (-122.3325662857143 47.604035485714284),0.09368741057310266,0.011176,False,False,0.010360931717889302,0.4875120226079123,-122.3325662857143,47.604035485714284,0.0
49,POINT (-122.33263814285715 47.604115042857146),0.09468947490302355,0.011176,False,False,0.01036092745391439,0.4978729500618267,-122.33263814285715,47.604115042857146,0.0
50,POINT (-122.33271 47.6041946),0.09525271216708395,0.011176,False,True,0.010413849468503964,0.5082867995303306,-122.33271,47.6041946,0.0
51,POINT (-122.3327828888889 47.60427428888889),0.09577929748913036,0.011176,False,False,0.010413845096889224,0.5187006446272199,-122.3327828888889,47.60427428888889,0.0
52,POINT (-122.33285577777778 47.60435397777778),0.09601157516148759,0.011176,False,False,0.010413840725673197,0.5291144853528931,-122.33285577777778,47.60435397777778,0.0
53,POINT (-122.33292866666667 47.604433666666665),0.09608147397351291,0.011176,False,False,0.010413836354456444,0.5395283217073495,-122.33292866666667,47.604433666666665,0.0
54,POINT (-122.33300155555555 47.604513355555554),0.09703252984864744,0.011176,False,False,0.010413831983841196,0.5499421536911907,-122.33300155555555,47.604513355555554,0.0
55,POINT (-122.33307444444445 47.60459304444445),0.09770921302063129,0.011176,False,False,0.010413827612020761,0.5603559813032115,-122.33307444444445,47.60459304444445,0.0
56,POINT (-122.33314733333333 47.60467273333334),0.09897523075729651,0.011176,False,False,0.010413823241803483,0.570769804545015,-122.33314733333333,47.60467273333334,0.0
57,POINT (-122.33322022222222 47.60475242222223),0.1007687113853426,0.011176,False,False,0.01041381886897994,0.581183623413995,-122.33322022222222,47.60475242222223,0.0
58,POINT (-122.3332931111111 47.604832111111115),0.10203063168835666,0.011176,False,False,0.010413814498361786,0.5915974379123567,-122.3332931111111,47.604832111111115,0.0
59,POINT (-122.333366 47.6049118),0.10332022673426716,0.0156464,False,True,0.01541228704746816,0.6070097249598249,-122.333366,47.6049118,0.0
60,POINT (-122.333473 47.6050301),0.10468255430995074,0.011176,True,False,0.011141798861831122,0.618151523821656,-122.333473,47.6050301,0.0
61,POINT (-122.33355157142857 47.60511511428572),0.10599802866365836,0.011176,False,False,0.011141793795882576,0.6292933176175385,-122.33355157142857,47.60511511428572,0.0
62,POINT (-122.33363014285715 47.605200128571425),0.10729124273530417,0.011176,False,False,0.011141788730725417,0.640435106348264,-122.33363014285715,47.605200128571425,0.0
63,POINT (-122.33370871428572 47.60528514285714),0.10852598396986209,0.011176,False,False,0.01114178366597601,0.6515768900142399,-122.33370871428572,47.60528514285714,0.0
64,POINT (-122.33378728571428 47.60537015714286),0.10971951631717215,0.011176,False,False,0.01114177860223484,0.6627186686164748,-122.33378728571428,47.60537015714286,0.0
65,POINT (-122.33386585714285 47.605455171428574),0.11085200068234605,0.011176,False,False,0.011141773535873896,0.6738604421523486,-122.33386585714285,47.605455171428574,0.0
66,POINT (-122.33394442857143 47.60554018571428),0.1118995817202158,0.011176,False,False,0.011141768473331858,0.6850022106256805,-122.33394442857143,47.60554018571428,0.0
67,POINT (-122.334023 47.6056252),0.11289526152241652,0.011176,False,True,0.0001,0.6851022106256804,-122.334023,47.6056252,0.0
68,POINT (-122.334023 47.6056252),0.11395337183335191,0.011176,False,False,0.01037277631069185,0.6954749869363723,-122.334023,47.6056252,0.0
69,POINT (-122.3340958888889 47.60570445555555),0.1150445311224492,0.011176,False,False,0.01037277194605166,0.705847758882424,-122.3340958888889,47.60570445555555,0.0
70,POINT (-122.33416877777778 47.60578371111111),0.11621324731690909,0.011176,False,False,0.010372767583017636,0.7162205264654417,-122.33416877777778,47.60578371111111,0.0
71,POINT (-122.33424166666667 47.60586296666666),0.1173594898897053,0.011176,False,False,0.010372763216769073,0.7265932896822107,-122.33424166666667,47.60586296666666,0.0
72,POINT (-122.33431455555555 47.60594222222222),0.11845211234550301,0.011176,False,False,0.010372758852728006,0.7369660485349387,-122.33431455555555,47.60594222222222,0.0
73,POINT (-122.33438744444445 47.60602147777778),0.11949226041622515,0.011176,False,False,0.010372754488084873,0.7473388030230236,-122.33438744444445,47.60602147777778,0.0
74,POINT (-122.33446033333333 47.606100733333335),0.1204695350481624,0.011176,False,False,0.01037275012283968,0.7577115531458632,-122.33446033333333,47.606100733333335,0.0
75,POINT (-122.33453322222222 47.60617998888889),0.12139950665453211,0.011176,False,False,0.010372745758195079,0.7680842989040584,-122.33453322222222,47.60617998888889,0.0
76,POINT (-122.3346061111111 47.606259244444445),0.12223533587854285,0.011176,False,True,0.010372741395156631,0.778457040299215,-122.3346061111111,47.606259244444445,0.0
77,POINT (-122.334679 47.6063385),0.12284719236863967,0.011176,False,False,0.01030741818470274,0.7887644584839177,-122.334679,47.6063385,0.0
78,POINT (-122.33475022222221 47.606417755555555),0.12327341234425582,0.011176,False,False,0.010307413992945606,0.7990718724768634,-122.33475022222221,47.606417755555555,0.0
79,POINT (-122.33482144444444 47.60649701111111),0.1235702061845047,0.011176,False,False,0.010307409797837806,0.8093792822747012,-122.33482144444444,47.60649701111111,0.0
80,POINT (-122.33489266666666 47.606576266666664),0.1237573847578769,0.011176,False,False,0.010307405604485445,0.8196866878791866,-122.33489266666666,47.606576266666664,0.0
81,POINT (-122.33496388888888 47.60665552222222),0.12377341671403286,0.011176,False,False,0.010307401411353927,0.8299940892905405,-122.33496388888888,47.60665552222222,0.0
82,POINT (-122.33503511111111 47.60673477777778),0.12370853282349706,0.011176,False,False,0.010307397217616622,0.8403014865081572,-122.33503511111111,47.60673477777778,0.0
83,POINT (-122.33510633333333 47.606814033333336),0.12363931770442749,0.011176,False,False,0.010307393022284755,0.850608879530442,-122.33510633333333,47.606814033333336,0.0
84,POINT (-122.33517755555555 47.60689328888889),0.12364306860294813,0.011176,False,False,0.010307388830523703,0.8609162683609657,-122.33517755555555,47.60689328888889,0.0
85,POINT (-122.33524877777778 47.606972544444446),0.1230106097950649,0.011176,False,False,0.010307384635412052,0.8712236529963777,-122.33524877777778,47.606972544444446,0.0
86,POINT (-122.33532 47.6070518),0.12344191689978384,0.011176,False,True,0.010333862545887387,0.8815575155422651,-122.33532,47.6070518,0.0
87,POINT (-122.33539288888889 47.607130644444446),0.12387101207059911,0.011176,False,False,0.01033385818714774,0.8918913737294129,-122.33539288888889,47.607130644444446,0.0
88,POINT (-122.33546577777777 47.60720948888889),0.1240052564874885,0.011176,False,False,0.010333853828816202,0.9022252275582291,-122.33546577777777,47.60720948888889,0.0
89,POINT (-122.33553866666666 47.60728833333334),0.12431073990104308,0.011176,False,False,0.01033384947048392,0.912559077028713,-122.33553866666666,47.60728833333334,0.0
90,POINT (-122.33561155555556 47.60736717777778),0.1249897620139101,0.011176,False,False,0.010333845111550435,0.9228929221402634,-122.33561155555556,47.60736717777778,0.0
91,POINT (-122.33568444444444 47.60744602222222),0.12497015163551481,0.011176,False,False,0.010333840754225967,0.9332267628944894,-122.33568444444444,47.60744602222222,0.0
92,POINT (-122.33575733333333 47.607524866666665),0.12582366359935027,0.011176,False,False,0.010333836395482616,0.9435605992899719,-122.33575733333333,47.607524866666665,0.0
93,POINT (-122.33583022222223 47.60760371111111),0.12651009109071842,0.011176,False,False,0.010333832037147363,0.9538944313271193,-122.33583022222223,47.60760371111111,0.0
94,POINT (-122.33590311111111 47.607682555555556),0.12701234261244013,0.011176,False,False,0.010333827679820655,0.9642282590069399,-122.33590311111111,47.607682555555556,0.0
95,POINT (-122.335976 47.6077614),0.12737600372597835,0.011176,False,True,0.011515256293883813,0.9757435153008237,-122.335976,47.6077614,0.0
96,POINT (-122.336056 47.60784976666667),0.12753343172339032,0.011176,False,False,0.011515251013891479,0.9872587663147152,-122.336056,47.60784976666667,0.0
97,POINT (-122.336136 47.607938133333334),0.1274720731091567,0.011176,False,False,0.011515245734288374,0.9987740120490036,-122.336136,47.607938133333334,0.0
98,POINT (-122.33621600000001 47.6080265),0.1272734897719811,0.011176,False,False,0.011515240453086295,1.01028925250209,-122.33621600000001,47.6080265,0.0
99,POINT (-122.336296 47.60811486666667),0.12686247404588571,0.011176,False,False,0.011515235172097064,1.021804487674187,-122.336296,47.60811486666667,0.0
100,POINT (-122.336376 47.608203233333334),0.12625118810694957,0.011176,False,False,0.01151522989188721,1.0333197175660742,-122.336376,47.608203233333334,0.0
101,POINT (-122.336456 47.6082916),0.12548748155717818,0.011176,True,False,0.0001,1.0334197175660742,-122.336456,47.6082916,0.0
102,POINT (-122.336456 47.6082916),0.12570065997333288,0.011176,False,False,0.01013834638478805,1.0435580639508621,-122.336456,47.6082916,0.0
103,POINT (-122.3365285 47.60836853333333),0.12533024389308242,0.011176,False,False,0.010138342096234492,1.0536964060470966,-122.3365285,47.60836853333333,0.0
104,POINT (-122.336601 47.608445466666666),0.12481879599839849,0.011176,False,False,0.010138337807082967,1.0638347438541795,-122.336601,47.608445466666666,0.0
105,POINT (-122.33667349999999 47.6085224),0.12467330875928127,0.011176,False,False,0.010138333519722294,1.0739730773739018,-122.33667349999999,47.6085224,0.0
106,POINT (-122.33674599999999 47.60859933333334),0.12462977711113551,0.011176,False,False,0.010138329231592472,1.0841114066054942,-122.33674599999999,47.60859933333334,0.0
107,POINT (-122.33681849999999 47.60867626666667),0.12426810965523202,0.011176,False,False,0.010138324942012635,1.0942497315475068,-122.33681849999999,47.60867626666667,0.0
108,POINT (-122.336891 47.6087532),0.12491593829175575,0.011176,False,True,0.0001,1.0943497315475068,-122.336891,47.6087532,0.0
109,POINT (-122.336891 47.6087532),0.1245058114491743,0.011176,False,False,0.010004358318477492,1.1043540898659843,-122.336891,47.6087532,0.0
110,POINT (-122.33696023076922 47.608830084615384),0.1243643797647098,0.011176,False,False,0.010004354359321546,1.1143584442253058,-122.33696023076922,47.608830084615384,0.0
111,POINT (-122.33702946153845 47.60890696923077),0.1246046465941621,0.011176,False,False,0.010004350398350544,1.1243627946236563,-122.33702946153845,47.60890696923077,0.0
112,POINT (-122.33709869230769 47.608983853846155),0.125486620049727,0.011176,False,False,0.010004346437983765,1.13436714106164,-122.33709869230769,47.608983853846155,0.0
113,POINT (-122.33716792307692 47.609060738461544),0.12647266142287059,0.011176,False,False,0.01000434247662623,1.1443714835382663,-122.33716792307692,47.609060738461544,0.0
