,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.328384 47.5992012),0.04406964180152734,0.011176,False,False,0.011456813228356786,0.011456813228356786,-122.328384,47.5992012,
1,POINT (-122.32853675 47.5992012),0.04229129888538991,0.011176,False,False,0.011456813228356786,0.022913626456713573,-122.32853675,47.5992012,0.0
2,POINT (-122.3286895 47.5992012),0.04108605174884927,0.011176,False,False,0.011456813230265215,0.03437043968697879,-122.3286895,47.5992012,0.0
3,POINT (-122.32884225000001 47.5992012),0.04041337797880726,0.011176,False,False,0.011456813228356786,0.04582725291533558,-122.32884225000001,47.5992012,0.0
4,POINT (-122.328995 47.5992012),0.040232755162165686,0.011176,False,False,0.012414094432865919,0.058241347348201494,-122.328995,47.5992012,0.0
5,POINT (-122.328991 47.599312775),0.04091634888649002,0.011176,False,False,0.012414094418064922,0.07065544176626641,-122.328991,47.599312775,0.0
6,POINT (-122.32898700000001 47.59942435000001),0.04182684607505814,0.011176,False,False,0.012414094401941498,0.0830695361682079,-122.32898700000001,47.59942435000001,0.0
7,POINT (-122.32898300000001 47.599535925000005),0.04286724612712877,0.011176,False,False,0.012414094385725835,0.09548363055393375,-122.32898300000001,47.599535925000005,0.0
8,POINT (-122.328979 47.5996475),0.04396753480434435,0.011176,False,False,0.010819882027667595,0.10630351258160134,-122.328979,47.5996475,0.0
9,POINT (-122.328979 47.599744775000005),0.04494006242752093,0.011176,False,False,0.010819882027667595,0.11712339460926893,-122.328979,47.599744775000005,0.0
10,POINT (-122.328979 47.59984205000001),0.04558589997291583,0.011176,False,False,0.01081988202696005,0.12794327663622898,-122.328979,47.59984205000001,0.0
11,POINT (-122.328979 47.599939325),0.04591082615852374,0.011176,False,False,0.010819882027667595,0.13876315866389657,-122.328979,47.599939325,0.0
12,POINT (-122.328979 47.6000366),0.04598497118949907,0.011176,False,True,0.010278501486549203,0.1490416601504458,-122.328979,47.6000366,0.0
13,POINT (-122.32898077777779 47.600129),0.04697900559902211,0.0156464,False,False,0.010278501483469553,0.15932016163391535,-122.32898077777779,47.600129,0.0
14,POINT (-122.32898255555556 47.6002214),0.04773119616508503,0.0156464,False,False,0.01027850148043942,0.1695986631143548,-122.32898255555556,47.6002214,0.0
15,POINT (-122.32898433333334 47.6003138),0.04855220146179219,0.0156464,False,False,0.010278501477409286,0.17987716459176406,-122.32898433333334,47.6003138,0.0
16,POINT (-122.32898611111112 47.6004062),0.04970435192585011,0.0156464,False,False,0.010278501474304884,0.19015566606606896,-122.32898611111112,47.6004062,0.0
17,POINT (-122.32898788888889 47.6004986),0.050666871333122476,0.0156464,False,False,0.010278501471274753,0.20043416753734372,-122.32898788888889,47.6004986,0.0
18,POINT (-122.32898966666667 47.600591),0.05225027136802695,0.0156464,False,False,0.01027850146892735,0.21071266900627106,-122.32898966666667,47.600591,0.0
19,POINT (-122.32899144444445 47.6006834),0.0536155257701876,0.0156464,False,False,0.010278501465164978,0.22099117047143604,-122.32899144444445,47.6006834,0.0
20,POINT (-122.32899322222222 47.6007758),0.0547861853361132,0.0156464,False,False,0.010278501462110094,0.23126967193354614,-122.32899322222222,47.6007758,0.0
21,POINT (-122.328995 47.6008682),0.0557857341051104,0.0156464,False,True,0.011462274613537073,0.24273194654708322,-122.328995,47.6008682,0.0
22,POINT (-122.32908040000001 47.60095366),0.05671952624321006,0.011176,False,False,0.01146226876632195,0.2541942153134052,-122.32908040000001,47.60095366,0.0
23,POINT (-122.3291658 47.60103912),0.05759563689231896,0.011176,False,False,0.011462262919692202,0.2656564782330974,-122.3291658,47.60103912,0.0
24,POINT (-122.3292512 47.60112458),0.05836896796226524,0.011176,False,False,0.011462257071994676,0.27711873530509207,-122.3292512,47.60112458,0.0
25,POINT (-122.32933659999999 47.60121004),0.05919202909469627,0.011176,False,False,0.011462251228081671,0.28858098653317377,-122.32933659999999,47.60121004,0.0
26,POINT (-122.329422 47.6012955),0.05970338490009331,0.011176,False,False,0.007877867937536464,0.29645885447071024,-122.329422,47.6012955,0.0
27,POINT (-122.329491 47.6013489),0.06010620930194883,0.011176,False,False,0.007828800155787205,0.30428765462649743,-122.329491,47.6013489,0.0
