,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.329063 47.5998383),0.05059174527620016,0.011176,False,False,0.009399752990458872,0.009399752990458872,-122.329063,47.5998383,
1,POINT (-122.329048 47.5999222),0.04863792521887152,0.011176,False,False,0.01373682174026919,0.02313657473072806,-122.329048,47.5999222,0.0
2,POINT (-122.328979 47.6000366),0.04744188868519692,0.011176,False,False,0.010278501486549203,0.03341507621727727,-122.328979,47.6000366,0.0
3,POINT (-122.32898077777779 47.600129),0.04691129484855723,0.011176,False,False,0.010278501483469553,0.04369357770074682,-122.32898077777779,47.600129,0.0
4,POINT (-122.32898255555556 47.6002214),0.04695380288233329,0.011176,False,False,0.01027850148043942,0.05397207918118624,-122.32898255555556,47.6002214,0.0
5,POINT (-122.32898433333334 47.6003138),0.047477071959905956,0.011176,False,False,0.010278501477409286,0.06425058065859553,-122.32898433333334,47.6003138,0.0
6,POINT (-122.32898611111112 47.6004062),0.04838876125465606,0.011176,False,False,0.010278501474304884,0.07452908213290041,-122.32898611111112,47.6004062,0.0
7,POINT (-122.32898788888889 47.6004986),0.049596529939964475,0.011176,False,False,0.010278501471274753,0.08480758360417516,-122.32898788888889,47.6004986,0.0
8,POINT (-122.32898966666667 47.600591),0.051008037189211757,0.011176,False,False,0.01027850146892735,0.09508608507310251,-122.32898966666667,47.600591,0.0
9,POINT (-122.32899144444445 47.6006834),0.052696036383094176,0.0156464,False,False,0.010278501465164978,0.1053645865382675,-122.32899144444445,47.6006834,0.0
10,POINT (-122.32899322222222 47.6007758),0.053832719289112124,0.0156464,False,False,0.010278501462110094,0.11564308800037759,-122.32899322222222,47.6007758,0.0
11,POINT (-122.328995 47.6008682),0.05499291952032765,0.0156464,False,True,0.011462274613537073,0.12710536261391467,-122.328995,47.6008682,0.0
12,POINT (-122.32908040000001 47.60095366),0.056067745846491206,0.011176,False,False,0.01146226876632195,0.13856763138023662,-122.32908040000001,47.60095366,0.0
13,POINT (-122.3291658 47.60103912),0.057019173731375494,0.011176,False,False,0.011462262919692202,0.15002989429992883,-122.3291658,47.60103912,0.0
14,POINT (-122.3292512 47.60112458),0.05785886940498443,0.011176,False,False,0.011462257071994676,0.1614921513719235,-122.3292512,47.60112458,0.0
15,POINT (-122.32933659999999 47.60121004),0.05820115007335529,0.011176,False,False,0.011462251228081671,0.17295440260000516,-122.32933659999999,47.60121004,0.0
16,POINT (-122.329422 47.6012955),0.059681875719005184,0.011176,False,False,0.007877867937536464,0.18083227053754164,-122.329422,47.6012955,0.0
17,POINT (-122.329491 47.6013489),0.06110917843089355,0.011176,False,False,0.007828800155787205,0.18866107069332885,-122.329491,47.6013489,0.0
18,POINT (-122.329559 47.6014023),0.06236704633258045,0.011176,False,False,0.0055640224026507834,0.19422509309597963,-122.329559,47.6014023,0.0
19,POINT (-122.329613 47.6014366),0.0635951124020033,0.011176,False,False,0.006859010155093485,0.20108410325107312,-122.329613,47.6014366,0.0
20,POINT (-122.329689 47.6014709),0.06451194603745751,0.011176,False,False,0.010301848818688637,0.21138595206976177,-122.329689,47.6014709,0.0
21,POINT (-122.32980500000001 47.6015205),0.0654098724979362,0.011176,False,False,0.010301841851900067,0.22168779392166182,-122.32980500000001,47.6015205,0.0
22,POINT (-122.329921 47.6015701),0.06597124516631764,0.011176,False,False,0.010301834888427078,0.2319896288100889,-122.329921,47.6015701,0.0
23,POINT (-122.330037 47.6016197),0.06621848568753898,0.011176,False,False,0.010301827919640757,0.24229145672972965,-122.330037,47.6016197,0.0
24,POINT (-122.330153 47.601669300000005),0.06624305883354414,0.011176,False,True,0.01030182095492784,0.2525932776846575,-122.330153,47.601669300000005,0.0
25,POINT (-122.330269 47.6017189),0.06615097149828238,0.011176,False,False,0.0001,0.2526932776846575,-122.330269,47.6017189,0.0
26,POINT (-122.330269 47.6017189),0.06593181434135287,0.011176,False,False,0.01422647083615436,0.26691974852081185,-122.330269,47.6017189,0.0
