route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100073,1,"182","","Northeast Tacoma - Federal Way TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/182.html,,
100074,1,"183","","Federal Way TC - Star Lake - Kent Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/183.html,,
100078,1,"187","","Federal Way - Twin Lakes",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/187.html,,
100089,1,"2","","West Queen Anne - Downtown Seattle - Madrona Park",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/002.html,,
100099,1,"208","","North Bend - Issaquah Transit Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/208.html,,
100101,1,"21","","Arbor Heights-Westwood Village-Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/021.html,,
100104,1,"212","","Eastgate P&R - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/212.html,,
100111,1,"22","","Westwood Villge-Shorewood-Gatewood-Alaska Junction",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/022.html,,
100113,1,"221","","Education Hill - Crossroads - Eastgate",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/221.html,,
100132,1,"24","","West Magnolia - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/024.html,,
100133,1,"240","","Bellevue Transit Center - Renton Transit Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/240.html,,
100136,1,"245","","Kirkland Transit Center - Crossroads - Factoria",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/245.html,,
100137,1,"246","","Eastgate P&R-Somerset-Bellevue TC-Clyde Hill",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/246.html,,
100139,1,"249","","Overlake - South Bellevue Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/249.html,,
100146,1,"255","","Totem Lake TC-Kirkand TC-UW Link Sta-Univ Dist",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/255.html,,
100148,1,"257","","Brickyard P&R - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/257.html,,
100160,1,"269","","Issaquah Transit Center - Overlake P&R",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/269.html,,
100161,1,"27","","Colman Park - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/027.html,,
100162,1,"271","","Issaquah - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/271.html,,
100169,1,"28","","Whittier Heights - Fremont - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/028.html,,
100173,1,"3","","Summit - Downtown Seattle - Madrona",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/003.html,,
100177,1,"303","","Aurora Village - Northgate Station - First Hill",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/303.html,,
100184,1,"31","","Children's Hospital - Fremont - Central Magnolia",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/031.html,,
100186,1,"311","","Woodinville - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/311.html,,
100193,1,"32","","Children's Hospital - Fremont -Seattle Center West",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/032.html,,
100194,1,"33","","Discovery Park - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/033.html,,
100196,1,"331","","Shoreline Comm Coll-Aurora Village TC-Kenmore P&R",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/331.html,,
100202,1,"345","","Shoreline South/148th Station - Northgate Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/345.html,,
100203,1,"346","","Aurora Village TC - Shoreline South/148th Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/346.html,,
100205,1,"348","","Richmond Beach - Shoreline North - Northgate",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/348.html,,
100210,1,"36","","Othello Station - Beacon Hill - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/036.html,,
100214,1,"372","","UW/Cascadia College - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/372.html,,
100219,1,"4","","East Queen Anne - Downtown Seattle - Judkins Park",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/004.html,,
100223,1,"43","","Univ Dist-Montlake-Capitol Hill-Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/043.html,,
100224,1,"44","","Ballard - Montlake",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/044.html,,
100225,1,"45","","Loyal Heights - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/045.html,,
100228,1,"48","","Mt Baker - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/048.html,,
100229,1,"5","","Shoreline CC - Greenwood - Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/005.html,,
100230,1,"50","","West Seattle - SODO - Beacon Hill - Columbia City",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/050.html,,
100232,40,"522","","Woodinville - Roosevelt Link Station",3,https://www.soundtransit.org/522,2B376E,FFFFFF
100236,40,"545","","Redmond - Seattle",3,https://www.soundtransit.org/545,2B376E,FFFFFF
100239,40,"550","","Bellevue - Seattle",3,https://www.soundtransit.org/550,2B376E,FFFFFF
100240,40,"554","","Issaquah - Seattle",3,https://www.soundtransit.org/554,2B376E,FFFFFF
100242,1,"56","","Alki - Admiral District - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/056.html,,
100246,1,"57","","Alaska Junction - Genesee Hill - Admiral District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/057.html,,
100249,1,"60","","Westwood Village - Georgetown - Broadway",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/060.html,,
100252,1,"62","","Sand Point - Green Lake - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/062.html,,
100254,1,"65","","Lake City  - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/065.html,,
100259,1,"67","","Northgate - Roosevelt - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/067.html,,
100263,1,"7","","Prentice St - Rainier Beach - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/007.html,,
100264,1,"70","","University District - Eastlake - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/070.html,,
100269,1,"75","","Northgate - Lake City - Sand Point - Univ District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/075.html,,
100272,1,"773","","Seacrest Park - West Seattle Junction",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/773.html,,
100275,1,"8","","Seattle Center - Capitol Hill - Rainier Beach",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/008.html,,
