,shortname,route_id,shape,direction,path,rider_dict,period,riders,bus,seeds,traffic,signal_chance,wind_speeds,wind_directions,trip,result
18,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.30000000000000004,2.3940000000000006,NW,<Object_Params.Trip object at 0x7936e57881a0>,0.3005475965504861
19,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.30000000000000004,2.3940000000000006,SE,<Object_Params.Trip object at 0x7936e578bb30>,0.29048654782178024
20,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.30000000000000004,2.8940000000000006,NW,<Object_Params.Trip object at 0x7936e578be30>,0.3005475965504861
21,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.30000000000000004,2.8940000000000006,SE,<Object_Params.Trip object at 0x7936e578af00>,0.29048654782178024
22,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.30000000000000004,3.3940000000000006,NW,<Object_Params.Trip object at 0x7936e578ad20>,0.3005475965504861
23,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.30000000000000004,3.3940000000000006,SE,<Object_Params.Trip object at 0x7936e5789f40>,0.29048654782178024
24,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,0.894,NW,<Object_Params.Trip object at 0x7936e5789a30>,0.3005210052128152
25,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,0.894,SE,<Object_Params.Trip object at 0x7936e578a360>,0.2904617069402608
26,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,1.3940000000000001,NW,<Object_Params.Trip object at 0x7936e578b560>,0.3005210052128152
27,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,1.3940000000000001,SE,<Object_Params.Trip object at 0x7936e5789640>,0.2904617069402608
