,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.305038 47.6074028),0.2961412997676045,0.011176,False,False,0.012941591096208627,0.012941591096208627,-122.305038,47.6074028,
1,POINT (-122.305038 47.607286450000004),0.2954802392843676,0.011176,False,False,0.012941591096916172,0.0258831821931248,-122.305038,47.607286450000004,0.0
2,POINT (-122.305038 47.6071701),0.29467926603999334,0.011176,False,False,0.0101451719715131,0.0360283541646379,-122.305038,47.6071701,0.0
3,POINT (-122.305038 47.60707889090909),0.2937792112338837,0.011176,False,False,0.01014517197009801,0.04617352613473591,-122.305038,47.60707889090909,0.0
4,POINT (-122.305038 47.60698768181818),0.29282090606544076,0.011176,False,False,0.010145171970805555,0.056318698105541465,-122.305038,47.60698768181818,0.0
5,POINT (-122.305038 47.60689647272727),0.29184518173406654,0.011176,False,False,0.0101451719715131,0.06646387007705457,-122.305038,47.60689647272727,0.0
6,POINT (-122.305038 47.60680526363636),0.29089286943916315,0.011176,False,False,0.010145171970805555,0.07660904204786012,-122.305038,47.60680526363636,0.0
7,POINT (-122.305038 47.60671405454545),0.29000480038013254,0.011176,False,False,0.01014517197009801,0.08675421401795813,-122.305038,47.60671405454545,0.0
8,POINT (-122.305038 47.606622845454545),0.28922180575637685,0.011176,False,False,0.0101451719715131,0.09689938598947123,-122.305038,47.606622845454545,0.0
9,POINT (-122.305038 47.606531636363634),0.288584716767298,0.011176,False,False,0.010145171970805555,0.10704455796027679,-122.305038,47.606531636363634,0.0
10,POINT (-122.305038 47.60644042727272),0.2865868521719287,0.011176,False,False,0.010145171970805555,0.11718972993108234,-122.305038,47.60644042727272,0.0
11,POINT (-122.305038 47.60634921818181),0.2875084415204616,0.011176,False,False,0.010145171970805555,0.1273349019018879,-122.305038,47.60634921818181,0.0
12,POINT (-122.305038 47.60625800909091),0.28870816102461566,0.011176,False,False,0.010145171970805555,0.13748007387269345,-122.305038,47.60625800909091,0.0
13,POINT (-122.305038 47.6061668),0.2901269488132381,0.011176,False,False,0.012317715399993788,0.14979778927268725,-122.305038,47.6061668,0.0
14,POINT (-122.30520225 47.6061668),0.2915248916625996,0.011176,False,False,0.012317715398085616,0.16211550467077288,-122.30520225,47.6061668,0.0
15,POINT (-122.30536649999999 47.6061668),0.29350176953402624,0.011176,False,False,0.012317715399993788,0.17443322007076667,-122.30536649999999,47.6061668,0.0
16,POINT (-122.30553075 47.6061668),0.29582540719003575,0.011176,False,False,0.012317715399993788,0.18675093547076047,-122.30553075,47.6061668,0.0
17,POINT (-122.305695 47.6061668),0.29823815518003716,0.0156464,False,False,0.010013889582782076,0.19676482505354254,-122.305695,47.6061668,0.0
18,POINT (-122.30582849999999 47.606164899999996),0.30067735107884463,0.0156464,False,False,0.010013889948272918,0.20677871500181547,-122.30582849999999,47.606164899999996,0.0
19,POINT (-122.305962 47.606163),0.3030907616124029,0.0156464,True,False,0.013986326265103918,0.22076504126691937,-122.305962,47.606163,0.0
