,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.376808 47.5168571),0.3941480325596309,0.0156464,True,False,0.011510743132244712,0.011510743132244712,-122.376808,47.5168571,
1,POINT (-122.37679266666666 47.516754133333336),0.3942774378305903,0.0156464,False,False,0.011510743358245996,0.023021486490490708,-122.37679266666666,47.516754133333336,0.0
2,POINT (-122.37677733333334 47.51665116666667),0.39448579344430973,0.0156464,False,False,0.01151074358411718,0.034532230074607886,-122.37677733333334,47.51665116666667,0.0
3,POINT (-122.376762 47.5165482),0.39476363927893054,0.011176,False,False,0.0001,0.03463223007460789,-122.376762,47.5165482,0.0
4,POINT (-122.376762 47.5165482),0.3951015152125943,0.011176,False,False,0.010483804450435565,0.04511603452504345,-122.376762,47.5165482,0.0
5,POINT (-122.3767491 47.516454350000004),0.3954899611234424,0.0156464,False,False,0.010483804610651997,0.05559983913569545,-122.3767491,47.516454350000004,0.0
6,POINT (-122.3767362 47.516360500000005),0.39591951688961635,0.0156464,False,False,0.010483804771396302,0.06608364390709176,-122.3767362,47.516360500000005,0.0
7,POINT (-122.3767233 47.51626665),0.39638072238925753,0.0156464,False,False,0.010483804931084993,0.07656744883817676,-122.3767233,47.51626665,0.0
8,POINT (-122.3767104 47.5161728),0.3968641175005075,0.0156464,False,False,0.010483805091301557,0.08705125392947832,-122.3767104,47.5161728,0.0
9,POINT (-122.3766975 47.51607895),0.39736024210150767,0.0156464,False,False,0.010483805251518164,0.09753505918099649,-122.3766975,47.51607895,0.0
10,POINT (-122.3766846 47.5159851),0.3978596360703995,0.0156464,False,False,0.010483805411734817,0.1080188645927313,-122.3766846,47.5159851,0.0
11,POINT (-122.3766717 47.51589125),0.39835283928532444,0.0156464,False,False,0.010483805572656026,0.11850267016538732,-122.3766717,47.51589125,0.0
12,POINT (-122.3766588 47.5157974),0.39883039162442396,0.0156464,False,False,0.01048380573216825,0.12898647589755557,-122.3766588,47.5157974,0.0
