0,0
0.5,0.101936799184506
1,0.203873598369011
1.5,0.172289636320429
2,0.167403580387363
2.5,0.163098878695209
3,0.159207130886429
3.5,0.155628299424264
4,0.152297204319374
4.5,0.149168571396539
5,0.146209436804359
5.5,0.143394915497691
6,0.140705674271846
6.5,0.138126338444049
7,0.135644442280605
7.5,0.133249712229607
8,0.130933562405715
8.5,0.128688730215756
9,0.126509007294555
9.5,0.124389036943454
10,0.122324159021407
10.5,0.12031028937036
11,0.118343824817929
11.5,0.116421567422927
12,0.114540663403847
12.5,0.112698553414891
13,0.11089293169426
13.5,0.109121712223264
14,0.107383000479517
14.5,0.105675069693845
15,0.103996340763173
15.5,0.102345365154016
16,0.100720810269737
16.5,0.0991214468610387
17,0.0975461381414451
17.5,0.0959938303337578
18,0.0944635444240674
18.5,0.092954368939976
19,0.0914654536017107
19.5,0.0899960037205387
20,0.0885452752397068
20.5,0.0871125703300603
21,0.085697233466345
21.5,0.0842986479215887
22,0.0829162326263704
22.5,0.0815494393476045
23,0.0801977501479869
23.5,0.0788606750927144
24,0.0775377501746816
24.5,0.0762285354332434
25,0.0749326132449183
25.5,0.0736495867672064
26,0.0723790785190858
26.5,0.0711207290837944
27,0.0698741959212641
27.5,0.0686391522790866
28,0.0674152861921997
28.5,0.0662022995626166
29,0.0649999073115074
29.5,0.0638078365967978
30,0.0626258260902037
30.5,0.0614536253082733
31,0.0602909939925871
31.5,0.0591377015347698
32,0.0579935264424194
32.5,0.0568582558424469
33,0.0557316850186752
